"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"gene0062"	6.45383404341886	-0.0744760446021728	0.387326679352552	0.713737529321953	NA
"gene0063"	3.7870690853706	0.123630876460307	0.42749333634285	0.48814844157111	NA
"gene0064"	3.25152424924777	-0.0494063008963815	0.414236832249613	0.764055267020788	NA
"gene0065"	3.45388649973387	-0.0633540529641976	0.411003146135014	0.716844487449325	NA
"gene0066"	4.07268146380373	-0.0818888130787645	0.410492440357126	0.64783878617365	NA
"gene0067"	20.8763848897501	-0.24433600237419	0.33534602613804	0.30389588193531	0.577895607386057
"gene0068"	3.36096678416581	-0.145607547917607	0.44073307438816	0.386476873707873	NA
"gene0069"	8.14151486360213	0.0437449048713002	0.371614552497382	0.837245243698994	0.918334838970502
"gene0070"	25.1859867704993	-0.328879330734479	0.382852929314805	0.192012857814947	0.447655269214941
"gene0071"	18.4197231413279	0.668502340584558	0.48863471221554	0.033180272562767	0.148876106386625
"gene0072"	1.46315776981546	0.0882357538570871	0.442645350086778	0.472631658091857	NA
"gene0073"	0.177456051852464	-0.0297651756621198	0.44969660825671	0.645253476157176	NA
"gene0074"	3.85960194306206	0.19287850858522	0.464671701365971	0.262213526940046	NA
"gene0075"	1.72747935269211	-0.0941173769023735	0.439009192507431	0.500286666700522	NA
"gene0076"	0.628009605604534	0.00963001379302286	0.441948945732236	0.858068235567664	NA
"gene0077"	9.30170944092229	0.150491061417931	0.385104002162717	0.499581056533333	0.74227849910711
"gene0078"	2.02397048639129	0.0473356492257068	0.428121555163258	0.73530060687159	NA
"gene0079"	4.33150666833081	-0.322755286527867	0.52863668005234	0.135166562883588	NA
"gene0080"	1.19971852120306	-0.0456878094070468	0.436466584246136	0.697397586489232	NA
"gene0081"	24.1552365752554	0.320133006999061	0.344442862969089	0.19340205033388	0.449840516606023
"gene0082"	12.7027537525633	0.395142241555028	0.444544468252445	0.137222338742836	0.364908470834946
"gene0083"	9.57010567747975	-0.501350504976933	0.543753437379103	0.0789558743110446	0.257706796316869
"gene0084"	21.011613735075	-1.30747706654755	0.482946915617571	0.00052881682533822	0.0052908256243638
"gene0085"	18.4134374047513	-0.348793563475057	0.393412979219158	0.170860952720695	0.416019101861187
"gene0086"	3.65941268326092	0.115444174008075	0.426266450895051	0.504790100351553	NA
"gene0087"	2.5003608681158	-0.198195025726733	0.472309401024904	0.240050521884246	NA
"gene0088"	4.65019548073715	0.0489878099105232	0.399643010951187	0.795594230511455	NA
"gene0089"	1.84010995195206	0.0439078274916351	0.429025924773094	0.749147728845713	NA
"gene0090"	7.98851792258061	-0.12999693247384	0.395912616203148	0.537187455646049	0.771791591477185
"gene0091"	5.33675488513448	-0.0453459271958098	0.392654756163028	0.812893352279403	NA
"gene0092"	2.69253282909333	-0.0276125812704493	0.418532982160649	0.855459026236018	NA
"gene0093"	4.23560964053905	-0.254329409424993	0.480736945317587	0.207877904648092	NA
"gene0094"	2.18238465276791	0.0418971966016425	0.427247997499988	0.763505996748417	NA
"gene0095"	17.730231804781	-0.0778636725071284	0.31998716459026	0.728625179585978	0.862993892061679
"gene0096"	0	NA	NA	NA	NA
"gene0097"	0.723906633396294	-0.0426997638860732	0.442988127900505	0.632846047915299	NA
"gene0098"	0.838842296095073	0.0439550710157	0.442823888817156	0.576914216144917	NA
"gene0099"	3.29790622558314	-0.0339347792579026	0.409485012095712	0.840797632095939	NA
"gene0100"	5.36046329989955	-0.138542545907675	0.409542594331491	0.492067190848285	NA
"gene0101"	2.36332267119564	-0.104461524835393	0.436347690983099	0.487952799596474	NA
"gene0102"	21.6110870282111	0.795106482564895	0.447341935731772	0.0130181087277692	0.0706241266402954
"gene0103"	10.5244262772469	0.252100714861442	0.401371557242525	0.29558261167741	0.570256763420274
