locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0274	0	1	0	0	0	2
gene0275	0	2	2	2	1	5
gene0276	1	2	3	3	2	1
gene0277	2	3	4	13	6	12
gene0278	1	1	1	2	3	2
gene0279	0	1	0	0	1	5
gene0280	2	4	6	5	3	12
gene0281	2	6	6	6	2	5
gene0282	1	5	2	2	2	4
gene0283	6	8	7	14	13	21
gene0284	3	14	10	7	7	14
gene0285	4	11	8	15	14	19
gene0286	26	39	33	35	45	54
gene0287	2	1	2	2	0	0
gene0288	0	1	0	0	1	1
gene0289	2	4	3	4	5	6
gene0290	2	4	7	7	5	7
gene0291	29	50	34	42	52	69
gene0292	8	8	10	11	8	25
gene0293	3	1	1	2	2	4
gene0294	3	0	1	0	1	2
gene0295	1	5	2	5	1	2
gene0296	11	28	19	30	42	48
gene0297	7	13	17	28	32	39
gene0298	12	25	32	26	20	49
gene0299	19	71	62	49	48	79
gene0300	20	40	35	31	37	56
gene0301	12	22	18	11	15	22
gene0302	11	18	15	10	13	18
gene0303	5	12	10	5	6	14
gene0304	1	9	15	14	19	20
gene0305	3	6	5	2	11	6
gene0306	1	4	5	5	3	4
gene0307	3	2	2	6	5	7
gene0308	3	10	2	6	5	14
gene0309	4	9	8	12	15	22
gene0310	1	3	4	5	10	6
gene0311	1	0	0	1	4	1
gene0312	5	2	12	8	8	11
gene0313	1	8	7	8	9	14
gene0314	2	8	8	10	9	13
gene0315	8	27	39	22	39	52
gene0316	23	63	41	41	68	95
gene0317	8	24	20	30	50	71
gene0318	5	4	3	7	10	10
gene0319	4	3	5	8	16	28
gene0320	22	32	28	92	39	91
gene0321	0	1	0	6	3	9
gene0322	2	0	2	7	6	10
gene0323	1	0	0	1	3	2
gene0324	1	1	2	0	2	2
gene0325	3	6	2	2	1	6
gene0326	0	1	1	1	1	1
gene0327	2	11	4	38	13	38
gene0328	8	9	9	18	9	28
gene0329	21	28	19	32	25	56
gene0330	8	7	5	13	18	29
gene0331	9	8	12	10	23	35
gene0332	2	5	4	8	5	17
gene0333	1	4	6	5	6	9
gene0334	0	5	0	6	2	18
gene0335	1	3	3	4	4	5
gene0336	17	19	22	25	38	51
gene0337	23	45	34	44	40	83
gene0338	5	6	4	8	13	15
gene0339	0	2	2	3	4	5
gene0340	1	2	4	5	7	11
gene0341	3	4	8	8	10	20
gene0342	5	10	9	19	21	28
gene0343	5	3	12	13	11	10
gene0344	1	0	1	2	1	2
gene0345	2	1	2	5	5	10
gene0346	0	1	3	6	4	5
gene0347	2	7	1	5	3	10
gene0348	1	2	2	3	4	9
gene0349	0	2	1	0	0	5
gene0350	3	2	2	3	8	9
gene0351	4	1	4	5	4	8
gene0352	8	6	9	15	21	25
gene0353	10	19	11	19	26	32
gene0354	4	3	8	9	12	16
gene0355	0	4	2	5	2	6
gene0356	1	6	4	14	17	19
gene0357	5	10	6	13	32	33
gene0358	2	2	2	7	8	8
gene0359	0	4	2	9	8	14
gene0360	7	8	8	7	15	12
gene0361	4	7	8	11	14	17
gene0362	4	4	5	12	22	16
gene0363	1	6	7	19	29	33
gene0364	3	2	2	4	3	4
gene0365	3	2	2	2	2	3
gene0366	2	6	5	2	3	5
gene0367	0	5	6	2	4	6
gene0368	1	0	2	3	2	6
gene0369	1	0	0	0	2	2
gene0370	0	0	2	4	5	8
gene0371	5	12	11	11	5	12
gene0372	7	20	7	11	8	27
gene0373	10	18	14	29	27	45
gene0374	6	10	9	18	21	28
gene0375	5	9	10	25	29	37
gene0376	98	165	170	190	185	335
gene0377	1	3	3	3	2	8
gene0378	1	1	1	6	11	7
gene0379	3	1	2	4	7	14
gene0380	2	2	2	5	4	8
gene0381	9	16	17	20	28	36
gene0382	2	6	4	16	24	39
gene0383	2	2	4	6	8	7
gene0384	1	0	0	3	4	3
gene0385	0	2	1	2	1	5
gene0386	3	8	2	3	4	5
gene0387	5	12	5	6	11	13
gene0388	3	10	8	13	8	16
gene0389	1	5	5	5	7	10
gene0390	4	11	12	18	20	23
gene0391	4	4	7	12	12	23
gene0392	5	6	6	10	12	17
gene0393	4	7	4	2	7	12
gene0394	3	11	12	10	11	22
gene0395	4	14	10	6	18	30
gene0396	5	6	12	12	13	14
gene0397	3	6	4	1	3	7
gene0398	1	2	7	2	7	12
gene0399	7	12	8	12	5	22
gene0400	2	11	8	8	8	14
gene0401	4	2	3	6	8	13
gene0402	5	5	7	15	12	17
gene0403	1	2	2	2	2	3
gene0404	1	1	0	0	2	3
gene0405	2	2	2	6	5	12
gene0406	3	4	5	5	6	9
gene0407	9	6	10	17	15	24
gene0408	11	22	28	40	63	67
gene0409	2	6	5	9	15	16
