locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene1626	0	2	4	0	3	3
gene1627	0	0	1	1	3	3
gene1628	0	1	1	1	2	4
gene1629	1	0	1	2	1	3
gene1630	1	2	2	5	3	3
gene1631	1	2	4	1	1	5
gene1632	2	0	2	0	1	2
gene1633	11	9	10	9	9	28
gene1634	7	12	8	11	4	30
gene1635	3	2	2	0	0	2
gene1636	4	6	6	6	8	11
gene1637	1	2	2	1	4	2
gene1638	2	1	0	3	3	4
gene1639	5	8	2	5	4	13
gene1640	7	10	10	8	10	17
gene1641	1	2	2	9	5	6
gene1642	8	14	10	14	13	27
gene1643	2	5	9	10	9	17
gene1644	3	5	3	5	9	10
gene1645	0	0	0	2	0	3
gene1646	4	4	8	4	1	9
gene1647	6	4	4	5	0	10
gene1648	2	3	4	4	0	6
gene1649	1	3	1	1	0	6
gene1650	2	1	1	0	3	4
gene1651	2	5	7	8	6	10
gene1652	4	0	1	7	3	4
gene1653	0	1	0	4	0	3
gene1654	1	3	7	4	5	12
gene1655	4	1	4	1	1	9
gene1656	0	3	1	3	4	3
gene1657	0	1	0	2	1	2
gene1658	0	3	1	2	1	4
gene1659	1	1	0	0	0	0
gene1660	1	1	0	1	0	2
gene1661	0	0	2	1	2	0
gene1662	0	4	1	3	2	2
gene1663	0	1	1	1	1	3
gene1664	0	0	0	0	0	1
gene1665	0	0	0	1	0	3
gene1666	0	0	1	2	3	0
gene1667	7	3	1	2	1	2
gene1668	0	4	0	1	1	2
gene1669	5	6	5	6	8	8
gene1670	0	1	1	3	1	5
gene1671	1	1	2	2	2	4
gene1672	2	4	5	5	6	9
gene1673	3	4	7	5	5	13
gene1674	11	13	18	32	32	51
gene1675	3	10	11	13	10	25
gene1676	1	3	1	1	7	4
gene1677	3	7	5	8	8	14
gene1678	12	23	28	33	30	50
gene1679	21	40	32	44	19	54
gene1680	0	0	0	4	1	2
gene1681	8	11	13	16	18	46
gene1682	0	4	2	6	8	9
gene1683	2	1	3	4	4	5
gene1684	4	8	4	6	9	11
gene1685	1	3	1	6	7	10
gene1686	1	3	6	1	2	16
gene1687	6	15	5	5	26	19
gene1688	1	4	0	13	12	21
gene1689	9	11	8	23	46	55
gene1690	1	2	0	2	5	2
gene1691	0	0	0	0	1	4
gene1692	0	0	0	0	1	2
gene1693	3	4	1	3	5	3
gene1694	0	2	0	3	1	3
gene1695	0	0	0	1	3	3
gene1696	1	1	0	2	2	1
gene1697	3	0	4	5	18	19
gene1698	0	0	0	6	7	2
gene1699	0	0	0	0	0	0
gene1700	0	0	0	0	1	1
gene1701	0	0	0	1	0	0
gene1702	0	0	1	0	0	1
gene1703	5	2	1	6	9	7
gene1704	0	0	0	0	0	1
gene1705	0	0	0	0	1	2
gene1706	0	7	5	4	5	5
gene1707	0	0	0	1	4	3
gene1708	1	12	4	11	16	27
gene1709	1	3	1	4	17	18
gene1710	4	8	3	10	23	20
gene1711	1	0	0	3	3	0
gene1712	3	1	0	2	5	7
gene1713	6	6	9	13	32	36
gene1714	3	3	4	8	12	22
gene1715	1	0	0	0	2	3
gene1716	1	2	1	6	10	11
gene1717	0	0	0	1	2	5
gene1718	0	0	0	1	0	2
gene1719	0	1	0	2	0	1
gene1720	0	0	1	1	0	2
gene1721	1	2	0	1	3	2
gene1722	0	0	0	1	3	3
gene1723	0	2	0	1	5	9
gene1724	0	0	2	0	1	0
gene1725	0	1	1	4	3	2
gene1726	13	10	7	9	12	33
gene1727	13	17	25	15	23	31
gene1728	5	15	21	13	18	26
gene1729	4	1	4	7	7	12
gene1730	2	6	4	1	3	7
gene1731	0	0	2	1	2	5
gene1732	1	5	1	0	0	4
gene1733	1	0	3	0	4	3
gene1734	1	1	3	1	1	7
gene1735	2	1	2	7	4	7
gene1736	1	1	4	1	1	5
gene1737	9	13	6	5	5	12
gene1738	3	2	3	5	0	7
gene1739	0	3	3	5	3	5
gene1740	4	1	1	4	1	7
gene1741	2	1	1	9	4	10
gene1742	15	23	16	17	21	39
gene1743	0	0	0	0	0	0
gene1744	0	1	0	0	0	0
gene1745	0	0	2	2	4	0
gene1746	4	6	9	4	0	3
gene1747	1	2	0	2	0	1
gene1748	1	6	3	6	5	8
gene1749	3	4	4	9	18	14
gene1750	15	26	23	22	42	50
gene1751	0	0	8	3	6	6
gene1752	5	13	17	26	14	33
gene1753	3	6	10	9	6	17
gene1754	11	20	15	22	32	41
gene1755	0	4	4	5	8	6
gene1756	4	5	3	6	3	11
gene1757	5	7	8	15	26	26
gene1758	3	3	5	5	11	14
gene1759	8	7	14	10	22	30
gene1760	5	8	8	5	6	12
gene1761	0	0	2	6	2	3
gene1762	1	1	1	1	3	4
gene1763	1	1	0	1	3	5
gene1764	3	0	1	4	0	1
gene1765	1	5	3	2	3	3
gene1766	7	14	13	28	38	56
gene1767	12	34	22	37	34	62
gene1768	6	10	10	17	18	20
gene1769	14	20	28	35	46	60
gene1770	55	90	102	121	153	230
gene1771	3	4	3	13	7	13
gene1772	14	7	10	14	18	41
gene1773	19	14	21	43	26	49
gene1774	8	18	9	32	43	46
gene1775	14	30	36	79	83	113
gene1776	37	69	66	130	171	204
gene1777	347	632	649	1148	1453	1869
gene1778	2	2	5	3	2	4
gene1779	2	3	3	4	2	9
gene1780	0	0	0	0	0	0
gene1781	1	6	5	4	3	3
gene1782	2	2	1	2	6	4
gene1783	0	2	0	2	1	1
gene1784	0	2	2	4	2	5
gene1785	0	1	0	2	0	1
gene1786	2	4	2	0	1	4
gene1787	46	128	112	97	133	243
gene1788	3	3	0	7	7	4
gene1789	2	12	13	12	10	17
gene1790	3	2	1	9	9	8
gene1791	3	7	8	5	5	15
gene1792	3	5	6	9	12	14
gene1793	11	44	36	47	55	91
gene1794	11	19	28	30	61	71
gene1795	8	16	22	25	49	63
gene1796	10	10	6	16	27	24
gene1797	18	39	30	50	17	75
gene1798	2	7	5	12	7	30
gene1799	2	3	3	1	1	7
gene1800	66	146	154	252	456	556
gene1801	19	37	39	59	60	90
gene1802	55	128	121	173	295	396
gene1803	55	79	105	203	340	435
gene1804	48	76	89	294	505	688
gene1805	27	47	31	74	122	142
gene1806	2	3	1	6	9	7
gene1807	1	3	6	6	9	11
gene1808	1	5	4	4	1	8
gene1809	4	3	1	2	8	15
gene1810	8	12	8	8	10	30
gene1811	8	5	10	10	12	14
gene1812	13	14	15	20	46	57
gene1813	2	2	2	10	4	2
gene1814	2	10	9	17	17	10
gene1815	5	5	6	4	9	12
gene1816	3	5	6	8	9	15
gene1817	1	4	3	8	13	9
gene1818	7	17	10	19	14	27
gene1819	4	10	8	11	12	18
gene1820	2	6	4	6	8	14
gene1821	10	16	9	16	27	35
gene1822	8	13	16	17	30	38
gene1823	2	4	5	6	16	22
gene1824	0	3	0	6	7	11
gene1825	1	2	2	3	1	3
gene1826	3	3	5	2	7	3
gene1827	0	3	1	1	1	4
gene1828	1	4	5	3	5	7
gene1829	1	10	3	7	2	5
gene1830	17	31	27	55	72	117
gene1831	10	7	11	22	38	37
gene1832	4	14	14	16	21	18
gene1833	7	13	22	10	17	32
gene1834	2	4	3	9	5	14
gene1835	2	2	4	2	2	4
gene1836	0	0	0	2	1	0
gene1837	4	3	1	2	3	9
gene1838	10	29	20	22	17	29
gene1839	2	9	4	12	2	11
gene1840	6	2	5	5	8	11
gene1841	1	1	6	5	7	14
gene1842	0	2	4	5	7	12
gene1843	9	21	23	30	46	53
gene1844	1	1	1	2	0	2
gene1845	0	0	1	1	2	2
gene1846	5	11	10	29	28	38
gene1847	6	31	36	30	65	84
gene1848	2	1	1	3	2	1
gene1849	0	0	0	0	0	2
gene1850	1	3	4	3	4	14
gene1851	2	10	4	11	7	17
gene1852	47	55	50	83	98	181
gene1853	3	5	7	6	9	23
gene1854	1	1	6	2	2	2
gene1855	0	0	0	1	0	1
gene1856	2	5	1	6	5	10
gene1857	5	15	3	6	4	13
gene1858	1	1	2	3	4	5
gene1859	1	0	4	3	1	2
gene1860	3	5	3	3	1	2
gene1861	3	2	1	3	5	7
gene1862	1	1	2	3	0	6
gene1863	3	8	3	5	7	13
gene1864	0	1	0	0	0	0
gene1865	2	5	5	9	9	14
gene1866	4	3	7	13	5	18
gene1867	0	0	0	1	3	0
gene1868	1	3	3	2	1	4
gene1869	0	5	1	2	2	0
gene1870	0	0	0	0	0	2
gene1871	0	5	6	5	6	9
gene1872	3	5	1	3	8	8
gene1873	3	1	1	0	0	3
gene1874	8	32	17	41	28	74
gene1875	1	5	2	3	2	2
gene1876	1	7	3	7	3	10
gene1877	0	0	0	1	2	0
gene1878	0	3	2	2	1	0
gene1879	1	2	2	2	4	5
gene1880	1	10	4	6	4	12
gene1881	3	1	0	0	2	1
gene1882	6	5	4	10	7	11
gene1883	1	0	2	0	1	0
gene1884	0	0	1	0	1	0
gene1885	0	0	0	1	3	1
gene1886	3	5	9	4	9	16
gene1887	0	6	0	0	2	4
gene1888	1	7	7	3	2	5
gene1889	6	9	6	9	12	25
gene1890	5	11	7	13	6	18
gene1891	1	1	1	4	2	8
gene1892	7	13	8	13	2	27
gene1893	6	29	15	39	15	54
gene1894	2	2	1	6	1	3
gene1895	7	6	4	10	2	5
gene1896	2	5	3	1	2	2
gene1897	0	1	2	4	2	4
gene1898	0	2	2	1	1	4
gene1899	0	0	0	1	0	0
gene1900	0	0	0	2	2	0
gene1901	0	0	0	0	0	0
gene1902	0	0	0	0	0	0
gene1903	0	0	0	0	0	0
gene1904	0	0	0	0	0	0
gene1905	0	0	0	0	0	0
gene1906	2	3	0	3	1	3
gene1907	0	2	1	1	1	7
gene1908	0	3	0	2	1	2
gene1909	0	1	2	1	0	1
gene1910	0	2	1	5	2	8
gene1911	0	1	1	1	1	8
gene1912	2	0	4	2	2	4
gene1913	1	0	6	1	8	13
gene1914	1	3	0	4	0	1
gene1915	8	9	3	6	3	13
gene1916	0	1	1	0	1	2
gene1917	0	1	2	0	0	0
gene1918	0	2	1	2	1	1
gene1919	1	1	0	1	1	3
gene1920	2	2	4	4	1	8
gene1921	1	0	0	0	0	3
gene1922	1	1	0	2	2	1
gene1923	3	1	2	1	1	7
gene1924	0	2	0	0	0	1
gene1925	0	0	0	0	0	0
gene1926	3	14	6	11	24	21
gene1927	2	2	0	6	4	10
gene1928	0	1	1	2	0	3
gene1929	1	0	0	4	2	1
gene1930	1	10	6	8	5	14
gene1931	0	3	1	6	2	5
gene1932	3	2	5	6	5	15
gene1933	20	26	24	45	23	58
gene1934	1	5	1	4	5	6
gene1935	0	0	3	1	2	2
gene1936	0	1	0	1	3	4
gene1937	0	0	0	0	2	3
gene1938	2	2	1	2	1	3
gene1939	7	19	28	21	21	46
gene1940	5	8	5	5	6	14
gene1941	6	5	13	7	6	11
gene1942	2	3	1	2	3	1
gene1943	0	1	2	7	3	5
gene1944	5	10	6	10	9	20
gene1945	2	1	3	0	2	4
gene1946	2	6	4	6	4	7
gene1947	2	3	4	2	1	9
gene1948	0	2	3	0	4	8
gene1949	2	1	3	5	6	7
gene1950	3	4	1	8	6	11
gene1951	4	2	4	6	2	7
gene1952	0	0	2	2	2	2
gene1953	0	3	0	2	1	1
gene1954	2	0	1	1	1	1
gene1955	0	0	1	0	0	0
gene1956	1	1	0	0	2	2
gene1957	1	3	1	0	3	2
gene1958	2	2	2	1	1	9
gene1959	13	20	12	31	31	44
gene1960	2	4	3	3	0	5
gene1961	0	0	2	5	4	8
gene1962	3	3	8	3	1	1
gene1963	1	1	1	2	2	6
gene1964	7	11	18	25	28	46
gene1965	2	1	3	1	3	5
gene1966	0	1	0	2	5	2
gene1967	0	0	5	4	2	8
gene1968	0	0	0	2	1	5
gene1969	4	4	2	4	6	3
gene1970	1	0	2	1	1	1
gene1971	5	6	1	7	5	10
gene1972	0	1	2	1	2	5
gene1973	0	1	0	0	0	3
gene1974	0	1	1	1	0	1
gene1975	0	1	4	2	0	1
gene1976	1	1	0	2	1	6
gene1977	0	0	1	0	0	1
gene1978	0	4	1	2	1	2
gene1979	0	1	1	0	1	1
gene1980	0	0	0	0	0	1
gene1981	0	0	0	1	0	0
gene1982	0	0	0	2	4	6
gene1983	0	0	1	0	2	0
gene1984	0	1	1	2	2	5
gene1985	15	7	9	8	2	15
gene1986	0	3	1	4	2	4
gene1987	0	3	0	3	1	2
gene1988	1	0	1	0	0	1
gene1989	0	0	1	4	2	3
gene1990	0	1	1	0	1	2
gene1991	3	6	2	5	8	9
gene1992	1	3	3	5	2	11
gene1993	2	4	3	3	4	5
gene1994	1	4	2	2	3	3
gene1995	0	1	3	0	2	4
gene1996	1	0	1	2	3	3
gene1997	3	5	6	2	7	16
gene1998	1	5	5	2	4	11
gene1999	4	5	6	2	2	5
gene2000	3	3	3	0	1	3
gene2001	2	6	6	6	5	19
gene2002	1	5	6	3	1	4
gene2003	2	6	10	2	5	9
gene2004	2	9	2	4	1	5
gene2005	4	7	7	2	2	12
gene2006	0	1	3	3	0	3
gene2007	2	9	1	4	2	11
gene2008	4	13	5	9	5	26
gene2009	2	8	5	7	4	20
gene2010	3	2	4	3	6	8
gene2011	3	5	4	3	6	9
gene2012	2	5	1	4	2	10
gene2013	1	3	3	2	0	3
gene2014	4	3	2	4	3	9
gene2015	5	9	4	9	6	10
gene2016	0	4	0	2	3	4
gene2017	0	3	5	7	1	3
gene2018	5	12	18	26	17	39
gene2019	4	9	8	4	7	12
gene2020	7	9	9	15	17	30
gene2021	2	1	1	1	0	4
gene2022	1	5	3	11	8	13
gene2023	9	22	26	35	58	85
gene2024	2	1	0	2	2	5
gene2025	6	13	27	10	24	25
gene2026	1	0	4	0	3	5
gene2027	0	0	0	1	0	1
gene2028	1	0	0	1	0	3
gene2029	0	0	0	0	1	1
gene2030	0	0	0	1	2	0
gene2031	1	0	0	2	0	1
gene2032	9	9	16	10	4	19
gene2033	5	4	3	2	8	8
gene2034	0	1	0	0	0	1
gene2035	0	4	3	2	2	8
gene2036	1	0	1	0	0	2
gene2037	0	0	2	11	17	13
gene2038	0	3	1	1	1	2
gene2039	0	4	2	3	1	2
gene2040	11	25	23	16	24	30
gene2041	5	4	5	7	10	12
gene2042	7	14	13	28	51	38
gene2043	0	0	3	4	8	10
gene2044	4	7	5	11	17	19
gene2045	1	2	2	0	2	4
gene2046	0	1	0	0	0	1
gene2047	1	3	1	0	5	4
gene2048	3	0	0	3	3	6
gene2049	1	2	2	3	4	5
gene2050	0	0	0	0	1	3
gene2051	0	0	0	0	1	1
gene2052	0	1	1	0	0	2
gene2053	2	1	0	1	0	2
gene2054	0	0	2	1	0	4
gene2055	0	0	0	1	0	0
gene2056	2	1	1	1	3	4
gene2057	3	1	1	3	3	4
gene2058	3	0	0	2	0	3
gene2059	1	0	1	2	1	3
gene2060	0	0	0	1	0	1
gene2061	0	1	0	0	2	2
gene2062	7	12	15	18	6	16
gene2063	1	2	3	8	6	8
gene2064	0	2	1	0	0	2
gene2065	1	6	3	2	1	8
gene2066	1	2	1	4	1	7
gene2067	0	2	1	2	2	1
gene2068	0	2	0	5	0	0
gene2069	2	3	2	3	0	2
gene2070	4	7	2	4	4	11
gene2071	16	23	21	28	13	44
gene2072	4	4	8	9	4	9
gene2073	4	7	7	5	3	7
gene2074	0	2	0	0	1	0
gene2075	2	3	1	0	3	3
gene2076	2	3	4	3	2	3
gene2077	1	2	3	1	2	4
gene2078	2	0	4	3	2	6
gene2079	4	2	1	3	1	7
gene2080	0	2	2	4	2	3
gene2081	1	2	1	3	1	2
gene2082	0	4	2	1	5	7
gene2083	0	6	3	3	0	11
gene2084	2	1	2	3	6	10
gene2085	0	0	0	1	0	2
gene2086	0	1	0	0	1	1
gene2087	0	0	1	0	1	3
gene2088	0	0	0	0	1	1
gene2089	9	6	4	8	8	12
gene2090	0	0	0	0	1	2
gene2091	0	0	0	0	0	0
gene2092	0	1	2	2	0	2
gene2093	0	1	0	2	0	1
gene2094	0	2	2	2	2	2
gene2095	3	1	0	1	0	2
gene2096	0	1	3	0	1	2
gene2097	2	3	0	1	2	1
gene2098	0	0	1	0	1	0
gene2099	0	0	0	0	1	0
gene2100	3	4	7	4	4	10
gene2101	3	1	2	2	1	3
gene2102	1	0	1	2	0	4
gene2103	6	2	3	5	7	4
gene2104	4	4	6	8	10	16
gene2105	1	9	12	15	10	31
gene2106	6	10	10	8	7	13
gene2107	0	1	0	1	2	5
gene2108	2	1	3	3	3	8
gene2109	2	5	4	4	4	8
gene2110	4	1	2	8	13	26
gene2111	1	4	7	15	53	77
gene2112	4	2	1	1	8	13
gene2113	4	11	4	6	16	22
gene2114	26	50	53	51	108	144
gene2115	1	4	3	5	9	8
gene2116	25	37	45	21	35	78
gene2117	11	19	26	16	38	37
gene2118	1	3	0	3	4	7
gene2119	2	6	6	8	1	8
gene2120	2	2	0	0	0	2
gene2121	0	5	1	0	0	5
gene2122	1	0	3	3	1	4
gene2123	2	1	1	1	1	4
gene2124	0	1	1	1	2	0
gene2125	2	2	0	0	1	1
gene2126	0	0	0	1	0	0
gene2127	1	3	3	3	4	4
gene2128	1	2	3	2	5	3
gene2129	0	0	0	0	0	1
gene2130	0	3	3	1	4	3
gene2131	0	1	1	0	1	1
gene2132	0	0	0	0	0	0
gene2133	0	0	1	0	0	0
gene2134	1	3	0	1	2	5
gene2135	1	0	2	2	0	1
gene2136	0	0	1	0	0	1
gene2137	0	1	1	1	1	0
gene2138	0	2	0	2	1	2
gene2139	0	0	0	0	0	0
gene2140	0	0	0	0	0	0
gene2141	0	0	0	0	0	0
gene2142	2	1	2	1	2	0
gene2143	1	0	0	0	0	0
gene2144	0	7	3	7	0	5
gene2145	1	0	0	0	0	0
gene2146	0	2	0	0	0	0
gene2147	3	3	5	1	3	8
gene2148	0	2	2	1	0	2
gene2149	0	0	1	0	0	1
gene2150	1	2	1	2	0	1
gene2151	3	2	3	3	2	4
gene2152	2	4	3	2	2	14
gene2153	0	0	5	0	1	2
gene2154	0	0	0	0	0	0
gene2155	0	0	0	2	1	1
gene2156	0	0	0	0	0	1
gene2157	0	1	0	5	1	5
gene2158	0	2	1	5	0	10
gene2159	4	0	1	3	0	2
gene2160	1	8	2	4	2	14
gene2161	0	0	0	0	0	0
gene2162	1	3	0	3	0	1
gene2163	0	0	1	1	0	1
gene2164	1	1	1	0	2	0
gene2165	2	1	2	4	4	10
gene2166	3	0	0	3	0	2
gene2167	2	1	1	5	1	7
gene2168	0	3	0	3	0	0
gene2169	2	0	0	1	0	0
gene2170	0	0	0	0	0	1
gene2171	0	2	3	2	0	1
gene2172	0	1	2	1	0	4
gene2173	0	0	1	0	0	1
gene2174	0	0	0	1	0	0
gene2175	0	1	0	1	0	2
gene2176	2	4	2	0	0	4
gene2177	8	6	7	9	10	8
gene2178	0	1	0	2	0	2
gene2179	1	1	1	1	0	2
gene2180	0	1	0	2	0	2
gene2181	1	0	0	2	0	3
gene2182	0	1	1	0	0	2
gene2183	0	1	0	0	0	1
gene2184	1	1	3	2	0	1
gene2185	0	4	1	1	1	2
gene2186	0	0	0	0	0	0
gene2187	0	0	2	0	0	0
gene2188	1	1	0	1	3	2
gene2189	2	1	0	2	1	3
gene2190	1	2	0	2	1	1
gene2191	1	1	3	8	1	6
gene2192	0	1	0	0	0	0
gene2193	1	2	0	0	0	2
gene2194	1	1	4	2	0	1
gene2195	0	6	6	2	3	5
gene2196	0	0	0	2	2	5
gene2197	9	5	4	9	2	13
gene2198	1	2	1	0	0	1
gene2199	2	6	8	3	9	15
gene2200	1	2	3	4	2	5
gene2201	1	2	1	3	0	6
gene2202	0	2	2	1	1	0
gene2203	0	0	0	1	2	0
gene2204	6	12	9	21	7	24
gene2205	2	1	0	0	2	0
gene2206	1	4	2	8	4	4
gene2207	3	2	2	2	0	8
gene2208	1	1	1	0	0	0
gene2209	1	4	3	2	0	2
gene2210	1	0	2	4	2	2
gene2211	0	0	2	1	0	0
gene2212	2	0	3	2	0	5
gene2213	0	2	0	0	1	3
gene2214	1	1	0	1	0	2
gene2215	2	1	2	0	0	0
gene2216	0	1	1	0	0	1
gene2217	1	2	0	1	3	2
gene2218	0	4	2	3	2	6
gene2219	2	2	1	2	2	3
gene2220	0	1	0	4	3	4
gene2221	1	1	0	3	7	14
gene2222	2	1	1	1	2	4
gene2223	1	3	8	3	5	4
gene2224	0	2	2	3	2	4
gene2225	0	0	1	1	3	2
gene2226	0	0	2	3	7	8
gene2227	1	2	2	5	19	18
gene2228	0	0	2	2	7	11
gene2229	2	3	3	2	1	5
gene2230	3	5	2	1	5	16
gene2231	10	21	17	19	23	44
gene2232	3	12	10	10	5	18
gene2233	1	6	4	6	6	9
gene2234	1	3	2	5	2	9
gene2235	10	18	15	15	18	26
gene2236	1	1	2	3	2	6
gene2237	2	2	2	10	4	12
gene2238	1	3	2	5	5	5
gene2239	0	5	2	2	1	2
gene2240	3	4	2	7	8	4
gene2241	3	2	0	0	2	6
gene2242	1	3	2	5	8	14
gene2243	1	1	1	1	0	9
gene2244	2	1	1	3	1	8
gene2245	2	1	1	2	0	4
gene2246	2	1	4	2	1	7
gene2247	14	29	15	19	12	29
gene2248	6	28	10	6	4	18
gene2249	2	9	16	12	8	27
gene2250	8	32	20	8	10	28
gene2251	0	4	0	0	2	6
gene2252	2	5	3	8	3	13
gene2253	0	0	2	6	2	1
gene2254	1	3	4	1	2	4
gene2255	1	1	0	4	0	2
gene2256	0	4	2	3	1	1
gene2257	0	1	0	0	0	0
gene2258	2	3	3	2	1	9
gene2259	4	6	1	2	3	6
gene2260	0	0	0	0	1	1
gene2261	2	2	1	1	0	4
gene2262	0	3	2	3	1	7
gene2263	0	2	0	1	1	1
gene2264	0	3	2	4	1	4
gene2265	1	7	6	9	5	7
gene2266	1	2	5	5	1	6
gene2267	1	0	3	5	3	2
gene2268	1	3	1	1	0	2
gene2269	0	2	1	4	2	3
gene2270	0	6	3	1	2	4
gene2271	2	5	2	1	0	4
gene2272	3	8	2	7	17	14
gene2273	0	2	0	2	1	7
gene2274	0	0	0	0	1	0
gene2275	0	2	3	1	0	4
gene2276	2	1	1	6	2	4
gene2277	0	1	0	1	1	3
gene2278	0	0	1	1	3	1
gene2279	1	1	2	1	0	4
gene2280	1	0	1	4	3	6
gene2281	1	3	3	4	7	12
gene2282	3	3	2	3	1	5
gene2283	4	2	2	8	2	16
gene2284	3	3	3	1	5	6
gene2285	7	7	2	7	4	6
gene2286	5	16	14	16	13	37
gene2287	7	15	10	10	6	20
gene2288	10	4	10	11	7	25
gene2289	1	1	3	8	7	6
gene2290	3	11	10	17	8	23
gene2291	2	4	2	6	4	4
gene2292	0	0	0	0	0	0
gene2293	0	0	0	0	0	2
gene2294	0	0	0	0	0	0
gene2295	0	0	0	0	1	1
gene2296	1	2	1	5	1	4
gene2297	0	0	0	0	1	2
gene2298	1	6	1	2	3	8
gene2299	0	0	1	0	0	1
gene2300	0	3	0	0	2	1
gene2301	0	3	0	0	2	2
gene2302	5	23	13	15	2	25
gene2303	0	0	1	1	1	2
gene2304	1	3	5	1	1	4
gene2305	6	13	8	12	10	17
gene2306	4	11	5	11	7	10
gene2307	0	0	2	2	0	4
gene2308	2	0	0	0	0	2
gene2309	0	1	2	3	2	4
gene2310	1	5	0	6	2	2
gene2311	0	0	1	2	0	2
gene2312	0	4	0	3	2	3
gene2313	0	4	2	5	3	8
gene2314	0	0	0	1	1	0
gene2315	1	0	0	0	0	3
gene2316	2	1	1	3	0	0
gene2317	0	2	1	0	2	9
gene2318	5	1	2	6	7	7
gene2319	0	1	0	0	0	0
gene2320	2	1	1	2	3	6
gene2321	1	7	2	6	1	6
gene2322	2	6	4	4	4	9
gene2323	1	6	8	8	3	18
gene2324	1	0	1	4	0	1
gene2325	1	0	1	1	0	1
gene2326	0	4	1	5	2	1
gene2327	1	0	0	5	1	1
gene2328	2	2	0	2	1	2
gene2329	0	0	0	2	0	1
gene2330	0	2	0	1	0	3
gene2331	1	1	1	1	0	3
gene2332	1	1	2	3	5	4
gene2333	0	3	2	2	1	6
gene2334	0	0	1	0	0	5
gene2335	2	0	3	2	3	5
gene2336	0	3	1	2	2	2
gene2337	0	3	2	4	2	3
gene2338	0	0	1	1	0	1
gene2339	0	1	2	5	2	4
gene2340	0	0	1	2	1	3
gene2341	1	0	0	1	1	4
gene2342	1	2	0	1	1	3
gene2343	0	0	0	0	0	1
gene2344	0	0	1	4	1	0
gene2345	1	5	4	1	2	4
gene2346	0	3	1	5	3	3
gene2347	1	1	1	2	0	0
gene2348	1	0	2	2	0	5
gene2349	1	0	0	1	3	7
gene2350	1	1	1	2	0	3
gene2351	0	1	0	1	1	3
gene2352	0	2	0	3	6	5
gene2353	1	2	0	1	6	5
gene2354	1	0	0	2	1	4
gene2355	0	0	1	0	0	5
gene2356	0	1	2	3	0	1
gene2357	1	0	0	2	0	4
gene2358	0	0	1	3	4	6
gene2359	1	3	1	5	1	6
gene2360	2	1	0	1	0	2
gene2361	0	4	3	1	1	6
gene2362	0	2	2	0	0	4
gene2363	2	3	2	1	2	6
gene2364	0	2	0	1	3	3
gene2365	2	4	2	4	0	5
gene2366	2	6	6	3	6	9
gene2367	1	4	0	1	2	4
gene2368	0	0	0	0	0	0
gene2369	1	1	2	1	0	3
gene2370	0	0	2	0	0	1
gene2371	2	0	0	2	2	6
gene2372	1	0	1	2	3	9
gene2373	1	3	4	7	6	12
gene2374	0	0	0	0	0	5
gene2375	3	1	0	3	0	2
gene2376	0	0	1	3	4	8
gene2377	3	2	2	7	3	6
gene2378	5	20	20	20	13	37
gene2379	2	3	1	5	12	11
gene2380	1	4	1	8	12	11
gene2381	5	16	4	10	4	9
gene2382	1	4	3	0	4	10
gene2383	1	0	3	1	0	6
gene2384	2	7	7	13	7	8
gene2385	11	16	8	13	8	18
gene2386	29	69	72	30	36	69
gene2387	4	4	9	9	23	14
gene2388	7	8	19	10	16	23
gene2389	3	11	5	13	7	17
gene2390	3	1	1	9	22	15
gene2391	3	0	1	5	4	4
gene2392	5	9	11	17	7	14
gene2393	5	5	13	15	11	17
gene2394	3	8	7	1	4	11
gene2395	4	6	9	2	5	8
gene2396	17	36	24	25	32	33
gene2397	14	26	22	9	9	25
gene2398	29	65	59	42	62	94
gene2399	30	80	74	60	50	91
gene2400	39	83	84	54	33	72
gene2402	75	149	129	80	101	153
gene2403	6	16	19	8	13	26
gene2404	2	6	3	3	3	6
gene2405	3	2	5	4	1	9
gene2406	2	2	4	3	3	2
gene2407	1	4	4	4	3	5
gene2408	1	2	2	0	1	3
gene2409	2	2	1	2	1	4
gene2410	3	3	8	1	5	7
gene2411	6	15	12	6	10	12
gene2412	5	3	11	7	8	10
gene2413	13	30	24	11	10	22
gene2414	2	9	6	10	8	17
gene2415	4	4	5	5	2	7
gene2416	1	3	8	5	3	10
gene2417	2	5	10	6	0	14
gene2418	0	0	1	2	2	5
gene2419	0	1	1	2	1	1
gene2420	0	2	3	4	4	5
gene2421	0	4	2	3	2	7
gene2422	0	1	1	1	1	0
gene2423	1	6	7	5	2	8
gene2424	50	103	83	63	52	130
gene2425	7	8	11	5	5	13
gene2426	6	15	14	14	14	18
gene2427	3	6	3	3	9	6
gene2428	12	21	10	13	3	13
gene2429	1	0	0	2	0	1
gene2430	1	1	1	0	1	2
gene2431	2	3	0	2	0	3
gene2432	2	3	1	1	0	5
gene2433	4	4	5	7	2	18
gene2434	1	2	2	9	3	8
gene2435	3	5	6	7	4	13
gene2436	2	3	0	0	2	1
gene2437	0	0	0	0	1	0
gene2438	0	0	0	2	0	4
gene2439	0	0	3	0	1	1
gene2440	0	1	1	6	1	10
gene2441	1	1	3	3	3	5
gene2442	4	5	5	12	12	13
gene2443	7	5	6	10	7	16
gene2444	4	6	4	8	6	11
gene2445	17	36	34	23	30	53
gene2446	4	5	2	12	6	18
gene2447	0	1	1	7	2	3
